["port 1","LEFT"]
["port 2","RIGHT"]
["port 3","RIGHT"]
["port 4","LEFT"]
("port 1","mode 1",1,"port 1",1,"transmission")
(5, 3)
1.9034441777777775e+14 7.4053161073760450e-03 2.6453304938614060e+00
1.9206628339912278e+14 6.1056261957813714e-03 2.5646775038949872e+00
1.9378814902046781e+14 3.8904555925232008e-03 1.8332509587336026e+00
1.9551001464181284e+14 7.3255892638080921e-03 1.3442324870367728e+00
1.9723188026315788e+14 8.8862159129199179e-03 1.3976325812198114e+00
("port 1","mode 1",1,"port 2",1,"transmission")
(5, 3)
1.9034441777777775e+14 2.3808426796615451e-01 1.0683868443676514e+00
1.9206628339912278e+14 2.4167828972845387e-01 -1.3884354848538498e+00
1.9378814902046781e+14 2.4713956960100736e-01 -3.8190198302822611e+00
1.9551001464181284e+14 2.5491806454504407e-01 -6.2288856287843668e+00
1.9723188026315788e+14 2.6284388541877296e-01 -8.6147408614105299e+00
("port 1","mode 1",1,"port 3",1,"transmission")
(5, 3)
1.9034441777777775e+14 2.2548247592402076e-01 2.5119961375444371e+00
1.9206628339912278e+14 2.3957737820207992e-01 4.6724401213822306e-02
1.9378814902046781e+14 2.5179429391909997e-01 -2.3723169456633886e+00
1.9551001464181284e+14 2.6265325016734403e-01 -4.7680567862669481e+00
1.9723188026315788e+14 2.7293395945823112e-01 -7.1414782222320072e+00
("port 1","mode 1",1,"port 4",1,"transmission")
(5, 3)
1.9034441777777775e+14 1.6703515285649163e-02 -2.9066730727738603e+00
1.9206628339912278e+14 1.5459545170002512e-02 -3.0929923014478460e+00
1.9378814902046781e+14 1.4365221096458229e-02 -3.2707443517845642e+00
1.9551001464181284e+14 1.3448578741263765e-02 -3.4478244928736066e+00
1.9723188026315788e+14 1.2676102675392865e-02 -3.6217163259665779e+00
("port 2","mode 1",1,"port 1",1,"transmission")
(5, 3)
1.9034441777777775e+14 2.4071506067241094e-01 1.0668093258357649e+00
1.9206628339912278e+14 2.4507733844281668e-01 -1.3999044485851138e+00
1.9378814902046781e+14 2.4846949499351459e-01 -3.8404707344468010e+00
1.9551001464181284e+14 2.5106209427896647e-01 -6.2492296175989619e+00
1.9723188026315788e+14 2.5488332281659687e-01 -8.6167715239670173e+00
("port 2","mode 1",1,"port 2",1,"transmission")
(5, 3)
1.9034441777777775e+14 3.8347779681274402e-01 4.4181948556662964e-02
1.9206628339912278e+14 3.8530751707225092e-01 8.7146862642195111e-01
1.9378814902046781e+14 3.8559134376345500e-01 1.6991587580777272e+00
1.9551001464181284e+14 3.8456375079890509e-01 2.5328899508789489e+00
1.9723188026315788e+14 3.8422627593961950e-01 3.3757923745276086e+00
("port 2","mode 1",1,"port 3",1,"transmission")
(5, 3)
1.9034441777777775e+14 1.5505967311710309e-02 -2.9331189473825031e-01
1.9206628339912278e+14 1.5244558780630314e-02 7.2685269032173749e-01
1.9378814902046781e+14 1.5194078095122030e-02 1.7481970333941932e+00
1.9551001464181284e+14 1.4970636815704839e-02 2.7405387275169724e+00
1.9723188026315788e+14 1.4919691002398939e-02 3.7193981163565502e+00
("port 2","mode 1",1,"port 4",1,"transmission")
(5, 3)
1.9034441777777775e+14 2.2885114573952692e-01 2.5161849374616359e+00
1.9206628339912278e+14 2.4353363445844195e-01 3.9036792305002177e-02
1.9378814902046781e+14 2.5359939675136933e-01 -2.3906865355616738e+00
1.9551001464181284e+14 2.5942038232116799e-01 -4.7867087878841081e+00
1.9723188026315788e+14 2.6560678152852563e-01 -7.1435199581626474e+00
("port 3","mode 1",1,"port 1",1,"transmission")
(5, 3)
1.9034441777777775e+14 2.2887125735158365e-01 2.5164155994232842e+00
1.9206628339912278e+14 2.4357794301377961e-01 3.9123338103050402e-02
1.9378814902046781e+14 2.5360239173114940e-01 -2.3903281929699816e+00
1.9551001464181284e+14 2.5948333490933329e-01 -4.7866672670549724e+00
1.9723188026315788e+14 2.6555329960270474e-01 -7.1433617792232500e+00
("port 3","mode 1",1,"port 2",1,"transmission")
(5, 3)
1.9034441777777775e+14 1.5504035342686625e-02 -2.9312642859663779e-01
1.9206628339912278e+14 1.5245488385920403e-02 7.2669734267799302e-01
1.9378814902046781e+14 1.5192449169570634e-02 1.7483303809106339e+00
1.9551001464181284e+14 1.4973521801045848e-02 2.7404494539621020e+00
1.9723188026315788e+14 1.4916530689818084e-02 3.7195089682849742e+00
("port 3","mode 1",1,"port 3",1,"transmission")
(5, 3)
